state,district,flood_probability,risk_level,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_30d,rainfall_ml_probability,weather_probability,satellite_probability,final_flood_probability,alert,alert_priority,prediction_confidence,risk_evidence,alert_message
Rajasthan,Karauli,0.7436217485261879,HIGH,33.814995,526.3100249999995,666.4850247,7883.764822700001,0.743622,0.0,0.0,0.743622,True,2,MEDIUM,strong rainfall ML signal (74.4%),"HIGH flood risk detected in Karauli, Rajasthan. Probability: 74.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (74.4%)."
Bihar,Siwan,0.7435493404733385,HIGH,14.774998,749.3999980000003,859.8899979999995,6509.5699415,0.743549,0.0,0.0,0.743549,True,2,MEDIUM,strong rainfall ML signal (74.4%),"HIGH flood risk detected in Siwan, Bihar. Probability: 74.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (74.4%)."
Rajasthan,Dhaulpur,0.7422370647599058,HIGH,25.585001,373.800001,572.2850000039997,6785.249765904,0.742237,0.0,0.0,0.742237,True,2,MEDIUM,strong rainfall ML signal (74.2%),"HIGH flood risk detected in Dhaulpur, Rajasthan. Probability: 74.2%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (74.2%)."
Arunachal Pradesh,Upper Dibang Valley,0.7415100702287214,HIGH,25.380001,225.33999100000057,471.57998129999976,4823.3698313,0.74151,0.0,0.0,0.74151,True,2,MEDIUM,strong rainfall ML signal (74.2%),"HIGH flood risk detected in Upper Dibang Valley, Arunachal Pradesh. Probability: 74.2%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (74.2%)."
Madhya Pradesh,Tikamgarh,0.7399848414835876,HIGH,11.205001,640.0500009999995,705.9649979999999,6739.6098852000005,0.739985,0.0,0.0,0.739985,True,2,MEDIUM,strong rainfall ML signal (74.0%),"HIGH flood risk detected in Tikamgarh, Madhya Pradesh. Probability: 74.0%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (74.0%)."
Madhya Pradesh,Bhind,0.7395784083805823,HIGH,72.104996,866.7849960000002,1095.304994,9842.654861,0.739578,0.0,0.0,0.739578,True,2,MEDIUM,strong rainfall ML signal (74.0%),"HIGH flood risk detected in Bhind, Madhya Pradesh. Probability: 74.0%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (74.0%)."
Assam,Dibrugarh,0.7393726377663253,HIGH,39.004997,597.7449770000001,707.1049669999996,7547.55987,0.739373,0.0,0.0,0.739373,True,2,MEDIUM,strong rainfall ML signal (73.9%),"HIGH flood risk detected in Dibrugarh, Assam. Probability: 73.9%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.9%)."
Sikkim,North Sikkim,0.7360303714918085,HIGH,198.705,579.9750000000005,646.6999999,8047.7249066,0.73603,0.0,0.0,0.73603,True,2,MEDIUM,strong rainfall ML signal (73.6%),"HIGH flood risk detected in North Sikkim, Sikkim. Probability: 73.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.6%)."
Chhattisgarh,Kawardha,0.7352911128162591,HIGH,172.75,1163.12,1259.0699959,6344.0948409,0.735291,0.0,0.0,0.735291,True,2,MEDIUM,strong rainfall ML signal (73.5%),"HIGH flood risk detected in Kawardha, Chhattisgarh. Probability: 73.5%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.5%)."
Madhya Pradesh,Balaghat,0.7346103802146158,HIGH,311.09,931.1900049999996,1019.8600040000006,4726.235033,0.73461,0.0,0.0,0.73461,True,2,MEDIUM,strong rainfall ML signal (73.5%),"HIGH flood risk detected in Balaghat, Madhya Pradesh. Probability: 73.5%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.5%)."
Mizoram,Champhai,0.7339730967599148,HIGH,161.17,1255.69998,1442.6899849999998,8378.889847,0.733973,0.0,0.0,0.733973,True,2,MEDIUM,strong rainfall ML signal (73.4%),"HIGH flood risk detected in Champhai, Mizoram. Probability: 73.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.4%)."
Uttar Pradesh,Azamgarh,0.7336711265466083,HIGH,38.315,628.3849500000006,787.5999500000003,6144.75478,0.733671,0.0,0.0,0.733671,True,2,MEDIUM,strong rainfall ML signal (73.4%),"HIGH flood risk detected in Azamgarh, Uttar Pradesh. Probability: 73.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.4%)."
Orissa,Keonjhar,0.7327947721978245,HIGH,213.85999,882.8399899999998,1021.534988,6123.709870000001,0.732795,0.0,0.0,0.732795,True,2,MEDIUM,strong rainfall ML signal (73.3%),"HIGH flood risk detected in Keonjhar, Orissa. Probability: 73.3%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.3%)."
Gujarat,Navsari,0.732628228060506,HIGH,391.055,705.6099800000002,839.7749759,4774.9849315,0.732628,0.0,0.0,0.732628,True,2,MEDIUM,strong rainfall ML signal (73.3%),"HIGH flood risk detected in Navsari, Gujarat. Probability: 73.3%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.3%)."
Bihar,Purnia,0.731755094744771,HIGH,76.43,1027.8250000000007,1162.8349999999998,7345.784917,0.731755,0.0,0.0,0.731755,True,2,MEDIUM,strong rainfall ML signal (73.2%),"HIGH flood risk detected in Purnia, Bihar. Probability: 73.2%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.2%)."
Gujarat,Rajkot,0.731561790713704,HIGH,110.635,898.6200300000008,1179.240021000001,8609.334964,0.731562,0.0,0.0,0.731562,True,2,MEDIUM,strong rainfall ML signal (73.2%),"HIGH flood risk detected in Rajkot, Gujarat. Probability: 73.2%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.2%)."
West Bengal,North 24 Parganas,0.7309406348343687,HIGH,156.555,987.0100000000014,1145.2449949999996,8017.939965,0.730941,0.0,0.0,0.730941,True,2,MEDIUM,strong rainfall ML signal (73.1%),"HIGH flood risk detected in North 24 Parganas, West Bengal. Probability: 73.1%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.1%)."
Nagaland,Kohima,0.7305885078258052,HIGH,21.965,827.51993,977.88493,7575.0547844,0.730589,0.0,0.0,0.730589,True,2,MEDIUM,strong rainfall ML signal (73.1%),"HIGH flood risk detected in Kohima, Nagaland. Probability: 73.1%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.1%)."
Uttaranchal,Chamoli,0.729696485726155,HIGH,40.295,797.0250000000013,973.1899959999988,7074.369959,0.729696,0.0,0.0,0.729696,True,2,MEDIUM,strong rainfall ML signal (73.0%),"HIGH flood risk detected in Chamoli, Uttaranchal. Probability: 73.0%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (73.0%)."
West Bengal,Nadia,0.7290072544783315,HIGH,53.96,696.30498,800.194973,4567.2148075000005,0.729007,0.0,0.0,0.729007,True,2,MEDIUM,strong rainfall ML signal (72.9%),"HIGH flood risk detected in Nadia, West Bengal. Probability: 72.9%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.9%)."
Haryana,Jhajjar,0.7287877618504788,HIGH,50.53,441.5199899999999,604.4549899,4620.9049199,0.728788,0.0,0.0,0.728788,True,2,MEDIUM,strong rainfall ML signal (72.9%),"HIGH flood risk detected in Jhajjar, Haryana. Probability: 72.9%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.9%)."
Gujarat,Panch Mahals,0.7279787189268387,HIGH,56.375,1075.8399400000003,1234.1399400000005,7910.739875599999,0.727979,0.0,0.0,0.727979,True,2,MEDIUM,strong rainfall ML signal (72.8%),"HIGH flood risk detected in Panch Mahals, Gujarat. Probability: 72.8%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.8%)."
Madhya Pradesh,Morena,0.7277898422088953,HIGH,127.395,665.68504,802.6700399800004,8707.684751980001,0.72779,0.0,0.0,0.72779,True,2,MEDIUM,strong rainfall ML signal (72.8%),"HIGH flood risk detected in Morena, Madhya Pradesh. Probability: 72.8%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.8%)."
Gujarat,Amreli,0.7268445354344619,HIGH,82.56,789.6399999999994,1174.859998,17761.064934,0.726845,0.0,0.0,0.726845,True,2,MEDIUM,strong rainfall ML signal (72.7%),"HIGH flood risk detected in Amreli, Gujarat. Probability: 72.7%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.7%)."
Mizoram,Mamit,0.726080912898596,HIGH,37.17,1049.1950000000004,1157.929999,6930.3948378000005,0.726081,0.0,0.0,0.726081,True,2,MEDIUM,strong rainfall ML signal (72.6%),"HIGH flood risk detected in Mamit, Mizoram. Probability: 72.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.6%)."
Mizoram,Aizawl,0.7259952074647587,HIGH,28.530003,1035.874943000001,1181.039943,8255.244827999999,0.725995,0.0,0.0,0.725995,True,2,MEDIUM,strong rainfall ML signal (72.6%),"HIGH flood risk detected in Aizawl, Mizoram. Probability: 72.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.6%)."
Tripura,West Tripura,0.7257619460545846,HIGH,41.055,1079.795,1234.709995,8443.22974,0.725762,0.0,0.0,0.725762,True,2,MEDIUM,strong rainfall ML signal (72.6%),"HIGH flood risk detected in West Tripura, Tripura. Probability: 72.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.6%)."
Uttar Pradesh,Kanpur Dehat,0.7253138407553748,HIGH,69.865,886.1199799999991,992.1849800000002,8160.889729,0.725314,0.0,0.0,0.725314,True,2,MEDIUM,strong rainfall ML signal (72.5%),"HIGH flood risk detected in Kanpur Dehat, Uttar Pradesh. Probability: 72.5%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.5%)."
West Bengal,West Midnapore,0.7249915501611858,HIGH,116.725,1670.2499799999991,1939.719989999999,19348.089665,0.724992,0.0,0.0,0.724992,True,2,MEDIUM,strong rainfall ML signal (72.5%),"HIGH flood risk detected in West Midnapore, West Bengal. Probability: 72.5%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.5%)."
Uttar Pradesh,Badaun,0.7238696395379485,HIGH,65.145,331.455006,406.2350059000001,4159.6199149,0.72387,0.0,0.0,0.72387,True,2,MEDIUM,strong rainfall ML signal (72.4%),"HIGH flood risk detected in Badaun, Uttar Pradesh. Probability: 72.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.4%)."
Bihar,Muzaffarpur,0.7231468408860607,HIGH,17.045,763.1250000000007,1040.24,8358.5848955,0.723147,0.0,0.0,0.723147,True,2,MEDIUM,strong rainfall ML signal (72.3%),"HIGH flood risk detected in Muzaffarpur, Bihar. Probability: 72.3%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.3%)."
Uttaranchal,Pithoragarh,0.7230457074894682,HIGH,67.549995,821.8549750000004,1058.0449709999996,6599.46984,0.723046,0.0,0.0,0.723046,True,2,MEDIUM,strong rainfall ML signal (72.3%),"HIGH flood risk detected in Pithoragarh, Uttaranchal. Probability: 72.3%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.3%)."
Jharkhand,Dumka,0.7215589805605336,HIGH,18.305,820.8399999999999,941.7349998000004,7032.97489982,0.721559,0.0,0.0,0.721559,True,2,MEDIUM,strong rainfall ML signal (72.2%),"HIGH flood risk detected in Dumka, Jharkhand. Probability: 72.2%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.2%)."
Andhra Pradesh,East Godavari,0.7213120430592836,HIGH,13.77,132.1299999999991,791.919979,4497.0449829,0.721312,0.0,0.0,0.721312,True,2,MEDIUM,strong rainfall ML signal (72.1%),"HIGH flood risk detected in East Godavari, Andhra Pradesh. Probability: 72.1%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.1%)."
Jharkhand,Pashchim Singhbhum,0.7212100897675652,HIGH,66.725,1715.445,1912.544999,17898.664589,0.72121,0.0,0.0,0.72121,True,2,MEDIUM,strong rainfall ML signal (72.1%),"HIGH flood risk detected in Pashchim Singhbhum, Jharkhand. Probability: 72.1%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.1%)."
