state,district,latitude,longitude,coordinate_source
Andaman and Nicobar,Andaman Islands,13.2277144,92.9394925,cache/manual
Andaman and Nicobar,Nicobar Islands,7.0000167,93.8110528,cache/manual
Andhra Pradesh,Adilabad,19.6759452,78.5339895,cache/manual
Andhra Pradesh,Anantapur,14.6783221,77.6065039,cache/manual
Andhra Pradesh,Chittoor,13.325036,79.6480611,cache/manual
Andhra Pradesh,Cuddapah,14.4956602,78.8349278,cache/manual
Andhra Pradesh,East Godavari,16.9956639,81.7154378,cache/manual
Andhra Pradesh,Guntur,16.2915189,80.4541588,cache/manual
Andhra Pradesh,Hyderabad,15.8136411,78.0275033,cache/manual
Andhra Pradesh,Karimnagar,18.4348122,79.1328042,cache/manual
Andhra Pradesh,Khammam,17.0786014,81.2610665,cache/manual
Andhra Pradesh,Krishna,16.2135466,81.0277844,cache/manual
Andhra Pradesh,Kurnool,15.8309251,78.0425373,cache/manual
Andhra Pradesh,Mahbubnagar,14.4110136,78.9746385,cache/manual
Andhra Pradesh,Medak,17.9375095,78.211745,cache/manual
Andhra Pradesh,Nalgonda,17.0504406,79.2669235,cache/manual
Andhra Pradesh,Nellore,14.4493717,79.9873763,cache/manual
Andhra Pradesh,Nizamabad,18.3019069,84.0237423,cache/manual
Andhra Pradesh,Prakasam,15.5641955,80.0066786,cache/manual
Andhra Pradesh,Rangareddy,17.4065,78.4772,cache/manual
Andhra Pradesh,Srikakulam,18.2949307,83.8938844,cache/manual
Andhra Pradesh,Visakhapatnam,17.6868,83.2185,cache/manual
Andhra Pradesh,Vizianagaram,18.1141255,83.4114389,cache/manual
Andhra Pradesh,Warangal,17.9820644,79.5970954,cache/manual
Andhra Pradesh,West Godavari,16.6443029,81.5885247,cache/manual
Arunachal Pradesh,Changlang,27.2698797,96.0602442,cache/manual
Arunachal Pradesh,East Kameng,27.557781,93.0753012,cache/manual
Arunachal Pradesh,East Siang,28.0742219,95.4178149,cache/manual
Arunachal Pradesh,Kurung Kumey,27.9863677,93.1578347,cache/manual
Arunachal Pradesh,Lohit,28.0350162,96.1713515,cache/manual
Arunachal Pradesh,Lower Dibang Valley,28.2149563,95.878774,cache/manual
Arunachal Pradesh,Lower Subansiri,27.6059753,93.8669707,cache/manual
Arunachal Pradesh,Papum Pare,27.2863667,93.6187716,cache/manual
Arunachal Pradesh,Tawang,27.5879186,91.863733,cache/manual
Arunachal Pradesh,Tirap,27.030169,95.4979175,cache/manual
Arunachal Pradesh,Upper Dibang Valley,28.8,95.7,cache/manual
Arunachal Pradesh,Upper Siang,28.7312046,95.0377315,cache/manual
Arunachal Pradesh,Upper Subansiri,28.2596054,94.0938106,cache/manual
Arunachal Pradesh,West Kameng,27.2986936,92.4741211,cache/manual
Arunachal Pradesh,West Siang,28.1970922,94.48407,cache/manual
Assam,Barpeta,26.345941,91.039708,cache/manual
Assam,Bongaigaon,26.4800126,90.5580387,cache/manual
Assam,Cachar,24.75864,92.8816648,cache/manual
Assam,Darrang,26.4373481,92.0047145,cache/manual
Assam,Dhemaji,27.5945155,94.7192098,cache/manual
Assam,Dhubri,26.132275,90.1249962,cache/manual
Assam,Dibrugarh,27.4728,94.912,cache/manual
Assam,Dima Hasao,25.4003625,93.0752292,cache/manual
Assam,Goalpara,26.0491877,90.6001859,cache/manual
Assam,Golaghat,26.5108262,93.9743686,cache/manual
Assam,Hailakandi,24.6846916,92.5645836,cache/manual
Assam,Jorhat,26.7577925,94.2079645,cache/manual
Assam,Kamrup,26.1468861,91.2227397,cache/manual
Assam,Karbi Anglong,26.0712781,93.4552969,cache/manual
Assam,Karimganj,24.5828196,92.3725487,cache/manual
Assam,Kokrajhar,26.4912104,90.1215209,cache/manual
Assam,Lakhimpur,27.1763356,94.1992932,cache/manual
Assam,Morigaon,26.2545556,92.3572669,cache/manual
Assam,Nagaon,26.3313646,92.7524763,cache/manual
Assam,Nalbari,26.3533632,91.3983662,cache/manual
Assam,Sivasagar,26.9834936,94.6394226,cache/manual
Assam,Sonitpur,26.7677707,92.7014089,cache/manual
Assam,Tinsukia,27.4879722,95.3601855,cache/manual
Bihar,Araria,26.1346459,87.4654062,cache/manual
Bihar,Banka,24.8328273,86.8161114,cache/manual
Bihar,Begusarai,25.5125411,86.0883392,cache/manual
Bihar,Bhagalpur,25.2425,86.9842,cache/manual
Bihar,Bhojpur,25.4501182,84.5635193,cache/manual
Bihar,Buxar,25.5044834,84.1097525,cache/manual
Bihar,Chhatrapati Sambhajinagar,19.877263,75.3390241,cache/manual
Bihar,Darbhanga,26.0829899,86.0324951,cache/manual
Bihar,East Champaran,26.6393261,84.8990136,cache/manual
Bihar,Gaya,24.7914,85.0002,cache/manual
Bihar,Gopalganj,26.4211166,84.3739133,cache/manual
Bihar,Jamui,24.7562514,86.3011128,cache/manual
Bihar,Jehanabad,25.1529579,85.0065043,cache/manual
Bihar,Kaimur,24.975466,83.5768379,cache/manual
Bihar,Katihar,25.5586421,87.6457196,cache/manual
Bihar,Khagaria,25.4930513,86.6982264,cache/manual
Bihar,Kishanganj,26.2984144,87.9466715,cache/manual
Bihar,Lakhisarai,25.1543938,86.1744959,cache/manual
Bihar,Madhepura,25.7806118,86.9364753,cache/manual
Bihar,Madhubani,26.3503076,86.2296424,cache/manual
Bihar,Munger,25.2202864,86.5161484,cache/manual
Bihar,Muzaffarpur,26.1209,85.3647,cache/manual
Bihar,Nalanda,25.1364914,85.4436546,cache/manual
Bihar,Nawada,24.8173249,85.5179085,cache/manual
