date,state,district,rainfall_mean_mm,rainfall_max_mm,rainfall_total_mm,heavy_rain_pixels,extreme_rain_pixels
2024-01-01,Andaman and Nicobar,Andaman Islands,5.2235,117.20999,261.175,2,1
2024-01-01,Andaman and Nicobar,Nicobar Islands,0.0,0.0,0.0,0,0
2024-01-01,Andhra Pradesh,Adilabad,0.0,0.0,0.0,0,0
2024-01-01,Andhra Pradesh,Anantapur,11.055775,129.52502,1713.645,16,7
2024-01-01,Andhra Pradesh,Chittoor,0.09812,4.9999995,12.264999,0,0
2024-01-01,Andhra Pradesh,Cuddapah,16.378584,135.71999,2080.08,17,9
2024-01-01,Andhra Pradesh,East Godavari,0.33623654,31.069996,31.269997,0,0
2024-01-01,Andhra Pradesh,Guntur,33.594322,198.16998,3225.055,24,11
2024-01-01,Andhra Pradesh,Hyderabad,0.0,0.0,0.0,0,0
2024-01-01,Andhra Pradesh,Karimnagar,20.312695,186.09998,2071.8948,18,8
2024-01-01,Andhra Pradesh,Khammam,3.7855923,119.265,511.05496,5,3
2024-01-01,Andhra Pradesh,Krishna,9.998851,106.96001,739.915,8,1
2024-01-01,Andhra Pradesh,Kurnool,0.008821656,1.385,1.385,0,0
2024-01-01,Andhra Pradesh,Mahbubnagar,25.226967,200.07004,3910.18,34,15
2024-01-01,Andhra Pradesh,Medak,0.008588235,0.45,0.72999996,0,0
2024-01-01,Andhra Pradesh,Nalgonda,1.7706302,63.949997,210.705,1,0
2024-01-01,Andhra Pradesh,Nellore,13.747797,172.23997,1498.5099,10,7
2024-01-01,Andhra Pradesh,Nizamabad,15.998234,136.905,1087.8799,13,2
2024-01-01,Andhra Pradesh,Prakasam,3.4246576e-05,0.005,0.005,0,0
2024-01-01,Andhra Pradesh,Rangareddi,0.0,0.0,0.0,0,0
2024-01-01,Andhra Pradesh,Srikakulam,3.5146232,89.00502,186.27502,2,0
2024-01-01,Andhra Pradesh,Vishakhapatnam,13.838871,168.075,1287.015,12,5
2024-01-01,Andhra Pradesh,Vizianagaram,25.1174,197.35999,1255.87,11,6
2024-01-01,Andhra Pradesh,Warangal,15.82739,166.82999,1788.495,16,8
2024-01-01,Andhra Pradesh,West Godavari,0.5901515,38.229996,38.949997,0,0
2024-01-01,Arunachal Pradesh,Changlang,1.8831111,24.544998,84.74,0,0
2024-01-01,Arunachal Pradesh,East Kameng,1.7359723,16.315,62.495003,0,0
2024-01-01,Arunachal Pradesh,East Siang,0.016999997,0.5949999,0.5949999,0,0
2024-01-01,Arunachal Pradesh,Kurung Kumey,0.0037272729,0.20500001,0.20500001,0,0
2024-01-01,Arunachal Pradesh,Lohit,0.00026595744,0.01,0.024999999,0,0
2024-01-01,Arunachal Pradesh,Lower Dibang Valley,0.023437502,0.7650001,1.1250001,0,0
2024-01-01,Arunachal Pradesh,Lower Subansiri,0.14445947,2.44,5.3450003,0,0
2024-01-01,Arunachal Pradesh,Papum Pare,1.2259678,17.81,38.005,0,0
2024-01-01,Arunachal Pradesh,Tawang,1.8702382,12.660001,39.275,0,0
2024-01-01,Arunachal Pradesh,Tirap,0.045526315,0.295,0.86499995,0,0
2024-01-01,Arunachal Pradesh,Upper Dibang Valley,0.16637681,2.48,11.4800005,0,0
2024-01-01,Arunachal Pradesh,Upper Siang,0.23030768,3.9249997,14.969999,0,0
2024-01-01,Arunachal Pradesh,Upper Subansiri,0.0027586203,0.124999985,0.15999998,0,0
2024-01-01,Arunachal Pradesh,West Kameng,0.7130769,11.4,46.35,0,0
2024-01-01,Arunachal Pradesh,West Siang,0.023472222,0.40499997,1.6899999,0,0
2024-01-01,Assam,Barpeta,0.0,0.0,0.0,0,0
2024-01-01,Assam,Bongaigaon,0.0,0.0,0.0,0,0
2024-01-01,Assam,Cachar,0.23453125,2.2700002,7.505,0,0
2024-01-01,Assam,Darrang,0.032499995,0.79999995,0.9749999,0,0
2024-01-01,Assam,Dhemaji,2.5603845,21.1,66.57,0,0
2024-01-01,Assam,Dhuburi,0.64159995,16.039999,16.039999,0,0
2024-01-01,Assam,Dibrugarh,0.88149995,5.81,26.444998,0,0
2024-01-01,Assam,Goalpara,0.0,0.0,0.0,0,0
2024-01-01,Assam,Golaghat,0.0516129,0.73999995,1.5999999,0,0
2024-01-01,Assam,Hailakandi,0.0,0.0,0.0,0,0
2024-01-01,Assam,Jorhat,0.046851847,0.575,1.2649999,0,0
2024-01-01,Assam,Kamrup,0.0,0.0,0.0,0,0
2024-01-01,Assam,Karbi Anglong,0.00015789473,0.015,0.015,0,0
2024-01-01,Assam,Karimganj,0.04,0.39499998,0.64,0,0
2024-01-01,Assam,Kokrajhar,0.0,0.0,0.0,0,0
2024-01-01,Assam,Lakhimpur,0.8925,10.88,23.205,0,0
2024-01-01,Assam,Marigaon,0.0,0.0,0.0,0,0
2024-01-01,Assam,Nagaon,0.0,0.0,0.0,0,0
2024-01-01,Assam,Nalbari,0.0,0.0,0.0,0,0
2024-01-01,Assam,North Cachar Hills,3.0762498,22.235,135.355,0,0
2024-01-01,Assam,Sibsagar,1.2519231,22.329998,32.55,0,0
2024-01-01,Assam,Sonitpur,0.10999999,1.03,5.6099997,0,0
2024-01-01,Assam,Tinsukia,0.5313889,5.65,19.13,0,0
2024-01-01,Bihar,Araria,0.0032608698,0.075,0.075,0,0
2024-01-01,Bihar,Aurangabad,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Banka,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Begusarai,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Bhabua,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Bhagalpur,0.21291667,1.73,5.11,0,0
2024-01-01,Bihar,Bhojpur,0.0015909091,0.02,0.035,0,0
2024-01-01,Bihar,Buxar,0.3019231,1.6600001,3.9250002,0,0
2024-01-01,Bihar,Darbhanga,4.435714,31.85,93.149994,0,0
2024-01-01,Bihar,Gaya,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Gopalganj,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Jamui,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Jehanabad,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Katihar,0.21750003,3.2200003,5.6550007,0,0
2024-01-01,Bihar,Khagaria,0.04083333,0.48999998,0.48999998,0,0
2024-01-01,Bihar,Kishanganj,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Lakhisarai,0.02125,0.255,0.255,0,0
2024-01-01,Bihar,Madhepura,0.80088246,7.925001,13.615002,0,0
2024-01-01,Bihar,Madhubani,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Munger,0.05269231,0.625,0.685,0,0
2024-01-01,Bihar,Muzaffarpur,0.8250001,8.130002,23.925003,0,0
2024-01-01,Bihar,Nalanda,0.09473684,0.59499997,1.8,0,0
2024-01-01,Bihar,Nawada,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Pashchim Champaran,0.0014583332,0.04,0.06999999,0,0
2024-01-01,Bihar,Patna,0.14433333,1.395,4.33,0,0
2024-01-01,Bihar,Purba Champaran,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Purnia,4.224,28.865002,126.72,0,0
2024-01-01,Bihar,Rohtas,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Saharsa,0.9517856,3.085,13.324999,0,0
2024-01-01,Bihar,Samastipur,1.3734616,11.595,35.710003,0,0
2024-01-01,Bihar,Saran,3.100435,31.525002,71.310005,0,0
2024-01-01,Bihar,Sheikhpura,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Sheohar,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Sitamarhi,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Siwan,2.837143,28.464998,59.58,0,0
2024-01-01,Bihar,Supaul,0.0,0.0,0.0,0,0
2024-01-01,Bihar,Vaishali,0.2922222,2.02,5.2599998,0,0
2024-01-01,Chandigarh,Chandigarh,0.0,0.0,0.0,0,0
2024-01-01,Chhattisgarh,Bastar,0.606627,36.315002,76.435,0,0
2024-01-01,Chhattisgarh,Bilaspur,2.3903623,20.545,164.935,0,0
2024-01-01,Chhattisgarh,Dantewada,7.909041,120.32999,1154.72,12,3
2024-01-01,Chhattisgarh,Dhamtari,7.499143,68.115005,262.47,2,0
2024-01-01,Chhattisgarh,Durg,0.002105263,0.16,0.16,0,0
2024-01-01,Chhattisgarh,Janjgir-Champa,3.5445714,31.054996,124.06,0,0
2024-01-01,Chhattisgarh,Jashpur,0.0,0.0,0.0,0,0
2024-01-01,Chhattisgarh,Kanker,8.29508,61.060005,522.59,3,0
2024-01-01,Chhattisgarh,Kawardha,3.6807692,35.969994,143.55,0,0
2024-01-01,Chhattisgarh,Korba,1.3574193,34.08,84.159996,0,0
2024-01-01,Chhattisgarh,Koriya,0.005272727,0.17999999,0.29,0,0
2024-01-01,Chhattisgarh,Mahasamund,0.0,0.0,0.0,0,0
2024-01-01,Chhattisgarh,Raigarh,1.7352419,13.195002,107.585,0,0
2024-01-01,Chhattisgarh,Raipur,1.9535648,66.88,210.985,3,0
2024-01-01,Chhattisgarh,Raj Nandgaon,3.4689283,76.3,242.82498,3,0
2024-01-01,Chhattisgarh,Surguja,0.021750001,2.375,3.045,0,0
2024-01-01,Dadra and Nagar Haveli,Dadra and Nagar Haveli,0.02125,0.085,0.085,0,0
2024-01-01,Daman and Diu,Junagadh,10.9470005,22.630001,54.735004,0,0
2024-01-01,Delhi,Delhi,0.8989286,4.98,12.585,0,0
2024-01-01,Goa,North Goa,0.0,0.0,0.0,0,0
2024-01-01,Goa,South Goa,0.175,1.135,2.975,0,0
2024-01-01,Gujarat,Ahmadabad,2.2364175,28.139997,149.83998,0,0
2024-01-01,Gujarat,Amreli,2.6791935,72.585,166.11,1,0
2024-01-01,Gujarat,Anand,0.0014583333,0.035,0.035,0,0
2024-01-01,Gujarat,Banas Kantha,0.034322917,1.54,3.295,0,0
2024-01-01,Gujarat,Bharuch,0.0,0.0,0.0,0,0
2024-01-01,Gujarat,Bhavnagar,0.0142465765,0.83000004,1.0400001,0,0
2024-01-01,Gujarat,Dahod,3.3170831,29.959995,159.21999,0,0
2024-01-01,Gujarat,Gandhinagar,0.0,0.0,0.0,0,0
2024-01-01,Gujarat,Jamnagar,0.19414139,13.504998,19.219997,0,0
2024-01-01,Gujarat,Junagadh,5.9185414,61.545006,426.13498,1,0
2024-01-01,Gujarat,Kachchh,0.72287124,31.344997,219.02998,0,0
2024-01-01,Gujarat,Kheda,3.2923079,13.195002,128.40001,0,0
2024-01-01,Gujarat,Mahesana,0.0,0.0,0.0,0,0
2024-01-01,Gujarat,Narmada,0.0,0.0,0.0,0,0
2024-01-01,Gujarat,Navsari,25.84237,96.02498,491.005,4,0
2024-01-01,Gujarat,Panch Mahals,2.5183868,26.715,78.06999,0,0
2024-01-01,Gujarat,Patan,0.0,0.0,0.0,0,0
2024-01-01,Gujarat,Porbandar,0.0,0.0,0.0,0,0
2024-01-01,Gujarat,Rajkot,1.2197,29.16,121.97,0,0
2024-01-01,Gujarat,Sabar Kantha,0.0,0.0,0.0,0,0
2024-01-01,Gujarat,Surat,0.017578125,0.51,1.125,0,0
2024-01-01,Gujarat,Surendranagar,1.6425,16.470001,154.395,0,0
2024-01-01,Gujarat,The Dangs,8.327499,25.355,116.58499,0,0
2024-01-01,Gujarat,Vadodara,0.4133582,14.485002,27.695,0,0
2024-01-01,Gujarat,Valsad,0.4933333,6.6749997,13.32,0,0
2024-01-01,Haryana,Ambala,0.55468744,5.4099994,8.874999,0,0
2024-01-01,Haryana,Bhiwani,0.6347675,5.23,27.295,0,0
2024-01-01,Haryana,Faridabad,0.21624999,1.89,4.325,0,0
2024-01-01,Haryana,Fatehabad,0.0,0.0,0.0,0,0
2024-01-01,Haryana,Gurgaon,0.18199998,1.185,4.5499997,0,0
2024-01-01,Haryana,Hisar,0.0,0.0,0.0,0,0
2024-01-01,Haryana,Jhajjar,3.2594445,15.009999,58.670002,0,0
2024-01-01,Haryana,Jind,0.0,0.0,0.0,0,0
2024-01-01,Haryana,Kaithal,0.14428571,1.4050001,3.03,0,0
2024-01-01,Haryana,Karnal,0.16295455,1.625,3.585,0,0
2024-01-01,Haryana,Kurukshetra,0.20911764,1.52,3.5549998,0,0
2024-01-01,Haryana,Mahendragarh,0.023888888,0.17499998,0.42999998,0,0
2024-01-01,Haryana,Panchkula,0.35857144,2.51,2.51,0,0
2024-01-01,Haryana,Panipat,0.0,0.0,0.0,0,0
2024-01-01,Haryana,Rewari,0.0,0.0,0.0,0,0
2024-01-01,Haryana,Rohtak,0.0,0.0,0.0,0,0
2024-01-01,Haryana,Sirsa,0.0009999999,0.03,0.04,0,0
2024-01-01,Haryana,Sonepat,0.0,0.0,0.0,0,0
2024-01-01,Haryana,Yamuna Nagar,0.08,0.48999998,1.12,0,0
2024-01-01,Himachal Pradesh,Bilaspur,0.0,0.0,0.0,0,0
2024-01-01,Himachal Pradesh,Chamba,0.07015625,1.1099999,4.49,0,0
2024-01-01,Himachal Pradesh,Hamirpur,0.0013636363,0.015,0.015,0,0
2024-01-01,Himachal Pradesh,Kangra,0.033148147,0.33999997,1.79,0,0
2024-01-01,Himachal Pradesh,Kinnaur,0.01574627,0.565,1.0550001,0,0
2024-01-01,Himachal Pradesh,Kullu,0.025098039,0.35499996,1.28,0,0
2024-01-01,Himachal Pradesh,Lahul and Spiti,0.08414062,1.4599997,10.7699995,0,0
2024-01-01,Himachal Pradesh,Mandi,0.00094594597,0.035,0.035,0,0
2024-01-01,Himachal Pradesh,Shimla,0.0,0.0,0.0,0,0
2024-01-01,Himachal Pradesh,Sirmaur,0.7961538,7.124999,20.699999,0,0
2024-01-01,Himachal Pradesh,Solan,0.0,0.0,0.0,0,0
2024-01-01,Himachal Pradesh,Una,0.01933333,0.28999996,0.28999996,0,0
2024-01-01,Jammu and Kashmir,Anantnag (Kashmir South),0.00012195122,0.005,0.005,0,0
2024-01-01,Jammu and Kashmir,Bagdam,0.0,0.0,0.0,0,0
2024-01-01,Jammu and Kashmir,Baramula (Kashmir North),0.46519604,11.984998,23.724998,0,0
2024-01-01,Jammu and Kashmir,Doda,0.0028301885,0.29999998,0.29999998,0,0
2024-01-01,Jammu and Kashmir,Jammu,0.1435294,2.0949998,4.8799996,0,0
2024-01-01,Jammu and Kashmir,Kargil,0.18460713,8.4,25.845,0,0
2024-01-01,Jammu and Kashmir,Kathua,0.3457895,1.5700002,6.57,0,0
2024-01-01,Jammu and Kashmir,Kupwara (Muzaffarabad),0.2918333,2.61,8.754999,0,0
2024-01-01,Jammu and Kashmir,Ladakh (Leh),0.47424573,18.71,194.915,0,0
2024-01-01,Jammu and Kashmir,Pulwama,0.0,0.0,0.0,0,0
2024-01-01,Jammu and Kashmir,Punch,0.013793102,0.29999998,0.39999998,0,0
2024-01-01,Jammu and Kashmir,Rajauri,0.0,0.0,0.0,0,0
2024-01-01,Jammu and Kashmir,Srinagar,0.0271875,0.175,0.435,0,0
2024-01-01,Jammu and Kashmir,Udhampur,0.03931818,1.125,1.73,0,0
2024-01-01,Jharkhand,Bokaro,0.61022735,4.3400006,13.425001,0,0
2024-01-01,Jharkhand,Chatra,0.7289705,4.5049996,24.784998,0,0
2024-01-01,Jharkhand,Deoghar,0.0,0.0,0.0,0,0
2024-01-01,Jharkhand,Dhanbad,3.333158,15.560001,63.33,0,0
2024-01-01,Jharkhand,Dumka,0.0,0.0,0.0,0,0
2024-01-01,Jharkhand,Garhwa,1.463611,18.594995,52.689995,0,0
2024-01-01,Jharkhand,Giridih,0.33655554,5.9799995,15.1449995,0,0
2024-01-01,Jharkhand,Godda,0.0,0.0,0.0,0,0
2024-01-01,Jharkhand,Gumla,0.010869565,0.355,0.5,0,0
2024-01-01,Jharkhand,Hazaribag,3.537091,36.83,194.54001,0,0
2024-01-01,Jharkhand,Jamtara,5.502,31.879997,82.53,0,0
2024-01-01,Jharkhand,Koderma,0.0,0.0,0.0,0,0
2024-01-01,Jharkhand,Latehar,0.32597223,3.1299999,11.735001,0,0
2024-01-01,Jharkhand,Lohardaga,0.005,0.065,0.065,0,0
2024-01-01,Jharkhand,Pakur,0.0,0.0,0.0,0,0
2024-01-01,Jharkhand,Palamu,3.9122372,34.270004,148.66501,0,0
2024-01-01,Jharkhand,Pashchim Singhbhum,0.15388888,2.8899999,9.695,0,0
2024-01-01,Jharkhand,Purba Singhbhum,0.0,0.0,0.0,0,0
2024-01-01,Jharkhand,Ranchi,0.019117646,0.65,1.3,0,0
2024-01-01,Jharkhand,Sahibganj,0.02388889,0.22,0.43,0,0
2024-01-01,Jharkhand,Saraikela Kharsawan,0.0,0.0,0.0,0,0
2024-01-01,Jharkhand,Simdega,0.0006944444,0.024999999,0.024999999,0,0
2024-01-01,Karnataka,Bagalkot,4.854123,99.065025,276.68503,3,0
2024-01-01,Karnataka,Bangalore Rural,22.723574,176.605,1113.4551,8,6
2024-01-01,Karnataka,Bangalore Urban,0.23138888,2.145,4.165,0,0
2024-01-01,Karnataka,Belgaum,10.70137,174.35497,1209.2549,12,4
2024-01-01,Karnataka,Bellary,1.1586154,30.999996,75.31,0,0
2024-01-01,Karnataka,Bidar,0.0,0.0,0.0,0,0
2024-01-01,Karnataka,Bijapur,23.948519,170.13498,2107.4697,18,9
2024-01-01,Karnataka,Chamrajnagar,0.10340426,3.64,4.86,0,0
2024-01-01,Karnataka,Chikmagalur,0.0,0.0,0.0,0,0
2024-01-01,Karnataka,Chitradurga,5.4634285,117.515,382.44,3,3
2024-01-01,Karnataka,Dakshin Kannad,25.732855,208.61,900.6499,4,4
2024-01-01,Karnataka,Davanagere,13.793917,105.32498,827.635,8,1
2024-01-01,Karnataka,Dharwad,0.0015714286,0.055,0.055,0,0
2024-01-01,Karnataka,Gadag,0.011710526,0.445,0.445,0,0
2024-01-01,Karnataka,Gulbarga,9.909819,151.7,1367.5549,14,2
2024-01-01,Karnataka,Hassan,7.5912294,144.48001,463.065,4,2
2024-01-01,Karnataka,Haveri,22.260477,112.18,934.94,8,3
2024-01-01,Karnataka,Kodagu,22.597425,178.33997,745.715,5,5
2024-01-01,Karnataka,Kolar,0.0006617647,0.044999998,0.044999998,0,0
2024-01-01,Karnataka,Koppal,0.0,0.0,0.0,0,0
2024-01-01,Karnataka,Mandya,36.267258,221.31505,1523.2249,7,7
2024-01-01,Karnataka,Mysore,10.28294,181.64494,524.42993,3,3
2024-01-01,Karnataka,Raichur,5.505833,156.195,396.41998,3,3
2024-01-01,Karnataka,Shimoga,0.0,0.0,0.0,0,0
2024-01-01,Karnataka,Tumkur,0.028315214,2.3899999,2.6049998,0,0
2024-01-01,Karnataka,Udupi,0.005909091,0.17999999,0.195,0,0
2024-01-01,Karnataka,Uttar Kannand,9.931897,96.295,864.075,6,0
2024-01-01,Kerala,Alappuzha,0.0,0.0,0.0,0,0
2024-01-01,Kerala,Ernakulam,0.0,0.0,0.0,0,0
2024-01-01,Kerala,Idukki,0.0,0.0,0.0,0,0
2024-01-01,Kerala,Kannur,0.0,0.0,0.0,0,0
2024-01-01,Kerala,Kasaragod,37.478527,218.475,637.13495,3,3
2024-01-01,Kerala,Kollam,0.26849997,1.1099999,5.3699994,0,0
2024-01-01,Kerala,Kottayam,0.0,0.0,0.0,0,0
2024-01-01,Kerala,Kozhikode,0.0,0.0,0.0,0,0
2024-01-01,Kerala,Malappuram,0.8684482,18.704998,25.184998,0,0
2024-01-01,Kerala,Palakkad,9.751538,58.105003,380.31,1,0
2024-01-01,Kerala,Pattanamtitta,0.0,0.0,0.0,0,0
2024-01-01,Kerala,Thiruvananthapuram,1.5630555,7.42,28.135,0,0
2024-01-01,Kerala,Thrissur,13.741818,61.364998,302.32,1,0
2024-01-01,Kerala,Wayanad,0.0,0.0,0.0,0,0
2024-01-01,Madhya Pradesh,Anuppur,0.0,0.0,0.0,0,0
2024-01-01,Madhya Pradesh,Ashoknagar,3.2694318,34.894997,143.855,0,0
2024-01-01,Madhya Pradesh,Balaghat,1.6018126,30.470005,128.145,0,0
2024-01-01,Madhya Pradesh,Barwani,0.042708334,1.4999999,2.05,0,0
2024-01-01,Madhya Pradesh,Betul,0.16593024,6.0950003,14.27,0,0
2024-01-01,Madhya Pradesh,Bhind,3.6660464,47.38,157.64,0,0
2024-01-01,Madhya Pradesh,Bhopal,0.0,0.0,0.0,0,0
2024-01-01,Madhya Pradesh,Burhanpur,0.0,0.0,0.0,0,0
2024-01-01,Madhya Pradesh,Chhatarpur,0.35626578,17.104998,28.144997,0,0
2024-01-01,Madhya Pradesh,Chhindwara,1.7745,14.524999,177.45,0,0
2024-01-01,Madhya Pradesh,Damoh,1.7745309,33.054993,113.56998,0,0
2024-01-01,Madhya Pradesh,Datia,0.0405,0.75,0.81,0,0
2024-01-01,Madhya Pradesh,Dewas,4.12,32.815006,255.43999,0,0
2024-01-01,Madhya Pradesh,Dhar,3.0919998,31.869999,216.43999,0,0
2024-01-01,Madhya Pradesh,Dindori,0.6075439,30.67,34.63,0,0
2024-01-01,Madhya Pradesh,East Nimar,0.039687496,1.4799998,2.5399997,0,0
2024-01-01,Madhya Pradesh,Guna,0.532037,12.344999,28.73,0,0
2024-01-01,Madhya Pradesh,Gwalior,0.1552564,1.505,6.055,0,0
2024-01-01,Madhya Pradesh,Harda,1.958125,11.265001,62.66,0,0
2024-01-01,Madhya Pradesh,Hoshangabad,4.772542,34.425,281.58,0,0
2024-01-01,Madhya Pradesh,Indore,2.7744284,11.594999,97.104996,0,0
2024-01-01,Madhya Pradesh,Jabalpur,0.0,0.0,0.0,0,0
2024-01-01,Madhya Pradesh,Jhabua,1.1250879,13.920002,64.130005,0,0
2024-01-01,Madhya Pradesh,Katni,0.0026363635,0.089999996,0.145,0,0
2024-01-01,Madhya Pradesh,Mandla,0.9279661,11.835,54.75,0,0
