feature,importance
rainfall_30d,0.19113764921977006
max_rainfall_30d,0.12898980991807715
heavy_rain_30d,0.11385323012955172
max_rainfall_14d,0.10768767507763527
rainfall_14d,0.09381145850405898
heavy_rain_14d,0.07152836945275524
rainfall_7d,0.06334122790597731
max_rainfall_7d,0.06078503985403123
extreme_rain_30d,0.04271413817306274
rainfall_3d,0.027399250460804547
max_rainfall_3d,0.017953747196994923
extreme_rain_14d,0.01631578743053343
heavy_rain_7d,0.012400579427732676
rainfall_total_mm,0.01169286435050961
rainfall_previous_day,0.00966424232691212
rainfall_1d,0.009093670577403233
rainfall_change_pct,0.004777286207345168
extreme_rain_7d,0.00454992814771089
rainfall_change,0.004445855396744235
heavy_rain_3d,0.004383762628351467
extreme_rain_3d,0.0016307588685085393
heavy_rain_pixels,0.0012852309306754382
extreme_rain_pixels,0.0005584378148540104
