date,rainfall_mean_mm,rainfall_max_mm,rainfall_total_mm,heavy_rain_pixels,extreme_rain_pixels
2024-01-01,3.140834093093872,254.01998901367188,292958.15625,1888,788
2024-01-02,1.7299634218215942,229.20001220703125,161360.609375,920,185
2024-01-03,1.6406868696212769,258.760009765625,153033.421875,688,264
2024-01-04,2.700995445251465,277.80499267578125,251932.65625,1607,520
2024-01-05,1.5769352912902832,184.11000061035156,147087.0625,511,89
2024-01-06,1.4062312841415405,148.99998474121094,131164.8125,547,41
2024-01-07,1.2415367364883423,86.88999938964844,115803.1015625,137,0
2024-01-08,2.767096519470215,193.3249969482422,258098.171875,905,229
2024-01-09,2.6572253704071045,316.0249938964844,247850.03125,986,248
2024-01-10,2.4429738521575928,358.14501953125,227865.9375,1329,544
2024-01-11,0.32603883743286133,89.36000061035156,30410.9453125,45,0
2024-01-12,0.24965804815292358,186.25,23286.60546875,50,12
2024-01-13,0.19398705661296844,92.19499969482422,18093.94921875,2,0
2024-01-14,0.04250878840684891,10.229999542236328,3964.96484375,0,0
2024-01-15,0.14592115581035614,39.23000717163086,13610.6494140625,0,0
2024-01-16,0.4175153374671936,101.83999633789062,38943.32421875,24,2
2024-01-17,0.3502117693424225,59.30999755859375,32665.65234375,3,0
2024-01-18,0.4582192897796631,66.8699951171875,42739.9453125,5,0
2024-01-19,0.23663543164730072,50.80999755859375,22071.93359375,1,0
2024-01-20,0.12679578363895416,71.64500427246094,11826.75,3,0
2024-01-21,0.11756512522697449,26.00499725341797,10965.76953125,0,0
2024-01-22,0.14529258012771606,51.29499816894531,13552.01953125,1,0
2024-01-23,0.32887914776802063,103.03999328613281,30675.875,33,1
2024-01-24,0.7788677215576172,74.8550033569336,72648.109375,34,0
2024-01-25,1.0849597454071045,135.78997802734375,101198.5390625,223,10
2024-01-26,1.199023723602295,205.14495849609375,111837.734375,382,31
2024-01-27,1.1876888275146484,159.864990234375,110780.484375,313,50
2024-01-28,1.473935604095459,141.3049774169922,137479.875,464,28
2024-01-29,0.9222085475921631,139.41998291015625,86018.078125,131,11
2024-01-30,0.5658398866653442,49.5050048828125,52778.1484375,0,0
2024-01-31,0.7616838812828064,100.33499145507812,71045.3046875,42,1
2024-02-01,0.41217976808547974,76.13499450683594,38445.65625,17,0
2024-02-02,0.2651522159576416,46.349998474121094,24731.80859375,0,0
2024-02-03,0.36694732308387756,66.04000091552734,34226.64453125,1,0
2024-02-04,0.5574497580528259,69.5300064086914,51995.56640625,6,0
2024-02-05,0.17779338359832764,45.400001525878906,16583.5,0,0
2024-02-06,0.15229125320911407,40.79500198364258,14204.814453125,0,0
2024-02-07,0.0547897070646286,30.814998626708984,5110.455078125,0,0
2024-02-08,0.052742406725883484,15.024999618530273,4919.4951171875,0,0
2024-02-09,0.0367625467479229,22.419998168945312,3428.98974609375,0,0
2024-02-10,0.09608085453510284,76.52999877929688,8961.845703125,15,0
2024-02-11,0.2522650957107544,46.75499725341797,23529.775390625,0,0
2024-02-12,0.18862462043762207,30.904998779296875,17593.7734375,0,0
2024-02-13,0.28697696328163147,30.544998168945312,26767.48828125,0,0
2024-02-14,0.3426324129104614,36.72999954223633,31958.6953125,0,0
2024-02-15,0.19190753996372223,58.71500015258789,17899.984375,1,0
2024-02-16,0.10244478285312653,37.75499725341797,9555.4345703125,0,0
2024-02-17,0.12481532990932465,46.98500442504883,11642.025390625,0,0
2024-02-18,0.7008809447288513,104.13998413085938,65373.96875,163,1
2024-02-19,0.7479314804077148,131.22999572753906,69762.5625,194,7
2024-02-20,0.33245137333869934,98.55999755859375,31009.068359375,17,0
2024-02-21,0.292728066444397,64.91500091552734,27303.91796875,12,0
2024-02-22,0.722382128238678,67.01499938964844,67379.46875,29,0
2024-02-23,0.28198131918907166,78.88999938964844,26301.525390625,4,0
2024-02-24,0.13806280493736267,44.755001068115234,12877.669921875,0,0
2024-02-25,0.18738709390163422,24.384998321533203,17478.34375,0,0
2024-02-26,0.493595153093338,44.084999084472656,46039.59375,0,0
2024-02-27,0.6665026545524597,53.61000061035156,62167.3671875,2,0
2024-02-28,0.16446661949157715,41.3700065612793,15340.458984375,0,0
2024-02-29,0.34353533387184143,37.9900016784668,32042.9140625,0,0
2024-03-01,1.036707878112793,87.41499328613281,96697.890625,57,0
2024-03-02,1.6714136600494385,150.63497924804688,155899.4375,437,40
2024-03-03,0.6367141604423523,101.58999633789062,59388.875,34,1
2024-03-04,0.3040025532245636,43.2550048828125,28355.53515625,0,0
2024-03-05,0.1387259066104889,55.08000183105469,12939.51953125,3,0
2024-03-06,0.15385429561138153,67.73499298095703,14350.60546875,5,0
2024-03-07,0.09073846787214279,40.88999557495117,8463.5400390625,0,0
2024-03-08,0.15089714527130127,144.80999755859375,14074.7802734375,7,2
2024-03-09,0.1129310354590416,33.59499740600586,10533.529296875,0,0
2024-03-10,0.10610244423151016,40.44999694824219,9896.599609375,0,0
2024-03-11,0.11231452971696854,30.6200008392334,10476.025390625,0,0
2024-03-12,0.13922052085399628,19.624998092651367,12985.654296875,0,0
2024-03-13,0.24579930305480957,53.599998474121094,22926.68359375,2,0
2024-03-14,0.08446458727121353,30.279998779296875,7878.35009765625,0,0
2024-03-15,0.05436096712946892,39.88999938964844,5070.46484375,0,0
2024-03-16,0.27534806728363037,57.409996032714844,25682.814453125,3,0
2024-03-17,0.19183963537216187,58.58000183105469,17893.650390625,1,0
2024-03-18,0.3943934142589569,38.025001525878906,36786.65234375,0,0
2024-03-19,1.2950334548950195,80.24500274658203,120792.953125,73,0
2024-03-20,1.621272087097168,81.49500274658203,151222.53125,62,0
2024-03-21,1.8696290254592896,132.45498657226562,174387.78125,56,2
2024-03-22,0.6067519187927246,72.05999755859375,56594.1796875,9,0
2024-03-23,0.5964164137840271,85.63499450683594,55630.14453125,17,0
2024-03-24,0.44703400135040283,81.45999145507812,41696.6484375,17,0
2024-03-25,0.8036162257194519,117.67499542236328,74956.5,80,4
2024-03-26,1.0505858659744263,130.49998474121094,97992.34375,115,10
2024-03-27,0.997112512588501,142.80502319335938,93004.671875,138,4
2024-03-28,0.5139753818511963,140.3350067138672,47940.5390625,16,6
2024-03-29,1.1905262470245361,177.9449920654297,111045.1484375,239,11
2024-03-30,1.8357758522033691,225.91000366210938,171230.15625,421,25
2024-03-31,1.3118531703948975,113.489990234375,122361.796875,375,5
2024-04-01,0.42392998933792114,124.73499298095703,39541.64453125,100,7
2024-04-02,0.47152307629585266,238.42999267578125,43980.84375,42,7
2024-04-03,0.35083913803100586,84.26499938964844,32724.169921875,8,0
2024-04-04,0.3551846444606781,72.95500946044922,33129.4921875,15,0
2024-04-05,0.33286842703819275,97.69499206542969,31047.96875,9,0
2024-04-06,0.24462956190109253,84.23499298095703,22817.578125,15,0
2024-04-07,0.520436704158783,122.60498046875,48543.2109375,10,1
2024-04-08,0.36413300037384033,63.19499588012695,33964.140625,8,0
2024-04-09,1.0641127824783325,124.97999572753906,99254.0546875,335,40
2024-04-10,1.7565556764602661,134.80499267578125,163840.96875,443,21
2024-04-11,1.1330655813217163,108.20999908447266,105685.5625,102,1
2024-04-12,1.6674165725708008,111.95500183105469,155526.609375,256,5
2024-04-13,1.8735944032669067,129.70498657226562,174757.640625,303,27
2024-04-14,1.0201784372329712,94.72999572753906,95156.125,81,0
2024-04-15,1.736774206161499,210.22000122070312,161995.875,514,49
2024-04-16,1.4997632503509521,152.27996826171875,139888.921875,464,124
2024-04-17,0.9158992171287537,83.26500701904297,85429.5859375,36,0
2024-04-18,0.8131517171859741,111.43000030517578,75845.9140625,44,1
2024-04-19,1.2097195386886597,133.37498474121094,112835.3828125,118,1
2024-04-20,1.296180248260498,148.7999725341797,120899.9140625,342,67
2024-04-21,0.7790172696113586,99.72999572753906,72662.0546875,48,0
2024-04-22,0.7132443785667419,68.68499755859375,66527.15625,8,0
2024-04-23,0.7383856773376465,133.66497802734375,68872.1875,130,14
2024-04-24,0.8537113070487976,121.44500732421875,79629.0703125,158,12
2024-04-25,0.7064093351364136,79.95499420166016,65889.625,48,0
2024-04-26,0.9874782562255859,106.25498962402344,92106.046875,39,2
2024-04-27,1.0943713188171387,148.97499084472656,102076.390625,170,34
2024-04-28,1.7980321645736694,227.58999633789062,167709.65625,560,94
2024-04-29,1.1150643825531006,122.24498748779297,104006.515625,139,4
2024-04-30,1.9996452331542969,193.70999145507812,186514.90625,956,209
2024-05-01,0.9775335788726807,161.46499633789062,91178.46875,132,15
2024-05-02,1.797629714012146,163.3599853515625,167672.109375,287,21
2024-05-03,0.9272453784942627,179.0550079345703,86487.8828125,89,5
2024-05-04,0.6551010012626648,117.05999755859375,61103.890625,107,6
2024-05-05,1.6783415079116821,196.40499877929688,156545.625,522,111
2024-05-06,3.136906862258911,194.614990234375,292591.84375,1370,236
2024-05-07,2.949021100997925,177.41000366210938,275067.0,283,26
2024-05-08,2.109097480773926,212.70498657226562,196723.96875,186,21
2024-05-09,2.536484956741333,175.66998291015625,236588.09375,184,13
2024-05-10,2.7701632976531982,294.6700134277344,258384.203125,541,102
2024-05-11,2.6928811073303223,192.8499755859375,251175.796875,296,18
2024-05-12,4.0892534255981445,208.44500732421875,381421.03125,1251,179
2024-05-13,3.44504976272583,189.57000732421875,321333.5625,552,57
2024-05-14,3.3338496685028076,248.45001220703125,310961.5,695,83
2024-05-15,3.5568645000457764,167.71998596191406,331762.96875,767,58
2024-05-16,6.478160381317139,244.38998413085938,604243.9375,2486,744
2024-05-17,5.593899250030518,197.92999267578125,521765.375,1560,183
2024-05-18,6.986938953399658,334.7099914550781,651699.75,3072,660
2024-05-19,7.3020548820495605,259.5099792480469,681091.875,2714,498
2024-05-20,9.785345077514648,354.63494873046875,912718.3125,4408,1181
2024-05-21,11.064826011657715,402.05499267578125,1032060.625,5273,1513
2024-05-22,14.860481262207031,516.2149047851562,1386096.5,8740,2392
2024-05-23,14.794495582580566,341.0299987792969,1379941.75,8801,3394
2024-05-24,14.103642463684082,622.8500366210938,1315503.125,7518,3163
2024-05-25,14.780599594116211,718.3899536132812,1378645.625,7752,2848
2024-05-26,11.609902381896973,677.7100219726562,1082902.0,5037,2010
2024-05-27,9.075393676757812,311.89996337890625,846498.3125,4707,1488
2024-05-28,6.0335307121276855,249.385009765625,562771.5625,2833,492
2024-05-29,4.451483726501465,315.06494140625,415207.6875,1838,380
2024-05-30,5.3070759773254395,224.97500610351562,495012.1875,2484,352
2024-05-31,8.515573501586914,440.13507080078125,794281.5625,4507,1883
2024-06-01,9.293495178222656,368.31500244140625,866841.5,3560,786
2024-06-02,8.999156951904297,348.1200256347656,839387.375,3504,809
2024-06-03,4.244598865509033,163.91000366210938,395910.71875,849,35
2024-06-04,5.602988243103027,213.09002685546875,522613.125,2586,558
2024-06-05,8.226858139038086,381.5199890136719,767351.9375,3653,1526
2024-06-06,7.744837284088135,314.04998779296875,722391.9375,3230,716
2024-06-07,7.426571369171143,401.39495849609375,692706.0,2784,872
2024-06-08,7.225764274597168,259.6899719238281,673975.9375,3653,723
2024-06-09,7.651288986206055,355.5099792480469,713666.3125,4107,910
2024-06-10,8.867985725402832,452.48004150390625,827152.5,4406,1527
2024-06-11,9.421408653259277,364.7799987792969,878772.4375,4413,1526
2024-06-12,7.340827941894531,328.1300964355469,684708.375,2772,652
2024-06-13,5.114288330078125,188.010009765625,477030.125,1630,234
2024-06-14,3.7022719383239746,215.0749969482422,345325.71875,949,191
2024-06-15,5.303171157836914,303.1750183105469,494648.0,2200,619
2024-06-16,3.7685415744781494,238.5,351506.9375,905,176
2024-06-17,5.723877906799316,241.63497924804688,533889.0,2116,560
2024-06-18,7.4037346839904785,249.25,690575.9375,3113,940
2024-06-19,8.973517417907715,415.4849853515625,836995.875,3549,1375
2024-06-20,7.468288421630859,336.5199890136719,696597.125,2246,461
2024-06-21,9.30925464630127,319.68011474609375,868311.375,3692,911
2024-06-22,11.741021156311035,442.69000244140625,1095132.0,5041,1771
2024-06-23,11.322672843933105,333.1650390625,1056111.0,4410,1270
2024-06-24,10.40888786315918,263.20001220703125,970878.625,4286,587
2024-06-25,13.74051284790039,349.5448913574219,1281632.625,6655,1763
2024-06-26,14.76042652130127,329.60003662109375,1376764.0,6857,1885
2024-06-27,10.641512870788574,291.46002197265625,992576.5,3307,603
2024-06-28,7.497974395751953,297.51995849609375,699366.0625,2104,502
2024-06-29,11.639785766601562,280.7400207519531,1085689.375,4742,1303
2024-06-30,13.04604434967041,255.30999755859375,1216856.75,5963,1755
2024-07-01,12.7703218460083,341.5350341796875,1191139.0,7082,2236
2024-07-02,8.520684242248535,496.99005126953125,794758.3125,3433,996
2024-07-03,10.439159393310547,345.1499938964844,973702.125,4397,1022
2024-07-04,11.973609924316406,326.8749694824219,1116826.5,4928,903
2024-07-05,12.098809242248535,260.9300231933594,1128504.375,4623,797
2024-07-06,10.946270942687988,263.52996826171875,1021002.4375,4229,661
2024-07-07,10.356505393981934,361.08001708984375,965992.6875,4228,1214
2024-07-08,9.315316200256348,380.78997802734375,868876.8125,3536,1106
2024-07-09,7.223414897918701,276.71490478515625,673756.8125,2265,401
2024-07-10,8.993634223937988,304.69000244140625,838872.25,3059,513
2024-07-11,10.118497848510742,265.8600158691406,943792.8125,3936,525
2024-07-12,12.244739532470703,280.4850158691406,1142115.875,5094,939
