state,district,district_latitude,district_longitude,scene_id,acquisition_datetime,platform,orbit_state,instrument_mode,tiff_urls,has_vv,has_vh,download_status
West Bengal,Darjeeling,27.0377554,88.263176,S1A_IW_GRDH_1SDV_20241231T120554_20241231T120619_057236_070A4E_A800_COG,2024-12-31 12:05:54.251101+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120554_20241231T120619_057236_070A4E_A800_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t120554-20241231t120619-057236-070a4e-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120554_20241231T120619_057236_070A4E_A800_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t120554-20241231t120619-057236-070a4e-001-cog.tiff,True,True,PENDING
Assam,Barpeta,26.345941,91.039708,S1A_IW_GRDH_1SDV_20241231T120529_20241231T120554_057236_070A4E_9F0E_COG,2024-12-31 12:05:29.251246+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120529_20241231T120554_057236_070A4E_9F0E_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t120529-20241231t120554-057236-070a4e-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120529_20241231T120554_057236_070A4E_9F0E_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t120529-20241231t120554-057236-070a4e-001-cog.tiff,True,True,PENDING
Meghalaya,South Garo Hills,25.347969,90.5657773,S1A_IW_GRDH_1SDV_20241231T120504_20241231T120529_057236_070A4E_22FB_COG,2024-12-31 12:05:04.251392+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120504_20241231T120529_057236_070A4E_22FB_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t120504-20241231t120529-057236-070a4e-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120504_20241231T120529_057236_070A4E_22FB_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t120504-20241231t120529-057236-070a4e-001-cog.tiff,True,True,PENDING
Tripura,West Tripura,23.9153329,91.3879341,S1A_IW_GRDH_1SDV_20241231T120439_20241231T120504_057236_070A4E_C590_COG,2024-12-31 12:04:39.251538+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120439_20241231T120504_057236_070A4E_C590_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t120439-20241231t120504-057236-070a4e-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120439_20241231T120504_057236_070A4E_C590_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t120439-20241231t120504-057236-070a4e-001-cog.tiff,True,True,PENDING
Andaman and Nicobar,Andaman Islands,13.2277144,92.9394925,S1A_IW_GRDH_1SDV_20241231T120159_20241231T120224_057236_070A4C_DE83_COG,2024-12-31 12:01:59.613184+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120159_20241231T120224_057236_070A4C_DE83_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t120159-20241231t120224-057236-070a4c-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120159_20241231T120224_057236_070A4C_DE83_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t120159-20241231t120224-057236-070a4c-001-cog.tiff,True,True,PENDING
Andaman and Nicobar,Nicobar Islands,7.0000167,93.8110528,S1A_IW_GRDH_1SDV_20241231T120015_20241231T120044_057236_070A4C_FDC0_COG,2024-12-31 12:00:15.608316+00:00,sentinel-1a,ascending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120015_20241231T120044_057236_070A4C_FDC0_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t120015-20241231t120044-057236-070a4c-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T120015_20241231T120044_057236_070A4C_FDC0_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t120015-20241231t120044-057236-070a4c-001-cog.tiff,True,True,PENDING
Gujarat,Porbandar,21.6505229,69.6565371,S1A_IW_GRDH_1SDV_20241231T011110_20241231T011135_057229_070A0A_EEC9_COG,2024-12-31 01:11:10.388524+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T011110_20241231T011135_057229_070A0A_EEC9_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t011110-20241231t011135-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T011110_20241231T011135_057229_070A0A_EEC9_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t011110-20241231t011135-057229-070a0a-001-cog.tiff,True,True,PENDING
Gujarat,Junagadh,21.5220416,70.4582458,S1A_IW_GRDH_1SDV_20241231T011045_20241231T011110_057229_070A0A_943D_COG,2024-12-31 01:10:45.388605+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T011045_20241231T011110_057229_070A0A_943D_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t011045-20241231t011110-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T011045_20241231T011110_057229_070A0A_943D_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t011045-20241231t011110-057229-070a0a-001-cog.tiff,True,True,PENDING
Gujarat,Mahesana,23.6015557,72.3867981,S1A_IW_GRDH_1SDV_20241231T011020_20241231T011045_057229_070A0A_BC09_COG,2024-12-31 01:10:20.388645+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T011020_20241231T011045_057229_070A0A_BC09_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t011020-20241231t011045-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T011020_20241231T011045_057229_070A0A_BC09_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t011020-20241231t011045-057229-070a0a-001-cog.tiff,True,True,PENDING
Rajasthan,Sirohi,24.8114047,72.8300257,S1A_IW_GRDH_1SDV_20241231T010955_20241231T011020_057229_070A0A_C6E1_COG,2024-12-31 01:09:55.388687+00:00,sentinel-1a,descending,IW,s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010955_20241231T011020_057229_070A0A_C6E1_COG.SAFE/measurement/s1a-iw-grd-vh-20241231t010955-20241231t011020-057229-070a0a-002-cog.tiff | s3://eodata/Sentinel-1/SAR/IW_GRDH_1S-COG/2024/12/31/S1A_IW_GRDH_1SDV_20241231T010955_20241231T011020_057229_070A0A_C6E1_COG.SAFE/measurement/s1a-iw-grd-vv-20241231t010955-20241231t011020-057229-070a0a-001-cog.tiff,True,True,PENDING
